"color","description","item","originX","originY","identifier"
"0xcce6ffff","1.3 Desktop Computer","b2a2ea70-4c95-481b-9822-f966af9e0b80","180.0","30.0","1fd8c354-4d07-458c-93aa-07c34f50900d"
"0xe6b3e6ff","1.2 Configuration Management System","61e29bdc-5cf4-45fa-b6af-bec240c87a30","370.0","230.0","293d04c2-6413-46b1-8e3d-bf48048fd444"
"0xccffccff","2 Engineering Team","d674806d-db60-4c2d-afbf-725f7108a2d3","140.0","230.0","5ca5ea07-bb34-40d8-8d0a-66c392335d49"
"0xe6ccffff","1 SystemDesign","f7ef3528-ea95-4fb4-84a4-8eb91340e967","180.0","140.0","69788e2e-4971-4798-9a58-0473797d86e1"
"0xffe6ccff","4 opencsv","55d83008-cd9e-4b84-8d75-15b2a8b31d98","330.0","140.0","73304cd6-ab82-4cd5-af58-8ca40969d4ef"
"0xb399ffff","5 Java 8 w/ JavaFX","18debf93-c474-4acb-930a-08dccd015fff","180.0","80.0","7effa3b8-fdb4-4dd9-82e2-c749eee38a3a"
