"description","direction","interface","left","right","type","uuid"
"Report Inconsistency (1 SystemDesign) --Inconsistencies-> Develop Systems (2 Engineering Team)","Normal","8f6942e7-f805-4e5c-abc3-976225382b2d","8d813dc4-a1ba-419c-9486-d6ae7d606564","31a28a71-41c2-4a99-a763-d51dfb7c3883","4c3fbedf-e72e-49f7-8848-8a34a2d62efe","87b684ed-97e5-42d4-8b7d-a549053cba4b"
"Manipulate Model (1 SystemDesign) --Candidate Versions-> Control Versions (1.2 Configuration Management System)","Reverse","05023724-6dea-4157-a0f3-5ad2a7f280c7","fd404a9f-42a9-418f-93e4-604812a30c7f","13a157cf-ab2e-4692-b91c-f8581fd0eb0c","b55cebf1-0ae0-48f3-bad1-bc6b4c5b708b","ae2328c6-d951-4844-b1b0-b468ed9aa3f1"
"Manipulate Model (1 SystemDesign) <-CSV Data-> Store CSV (4 opencsv)","Both","8f35042d-a0bc-43cf-995e-6da1b5c9c923","13a157cf-ab2e-4692-b91c-f8581fd0eb0c","39ac7b1f-488a-4cc6-87e1-7068e3176d6e","f63dd51b-f5b9-4441-9216-66fef034bdb9","ea66f9a6-8287-4551-86cc-597ebe9db5f7"
"Develop Systems (2 Engineering Team) --Model Data-> Manipulate Model (1 SystemDesign)","Reverse","8f6942e7-f805-4e5c-abc3-976225382b2d","13a157cf-ab2e-4692-b91c-f8581fd0eb0c","31a28a71-41c2-4a99-a763-d51dfb7c3883","abbf9d40-85d6-4edc-8b22-0ef5f34ad99d","5a8de522-cdd3-46af-838f-ec01ba3bc8e9"
