"name","uuid"
"CSV Data","940db509-67df-47c1-96f6-e237e500bfc0"
"CSV Files","beee31fe-1d1d-4149-bdcc-2b30df85d65e"
"User Interaction","39e6ca5f-65ae-4efc-92e3-f9edd883f760"
