"color","description","item","originX","originY","uuid"
"0xffccb3ff","2 Sources","2bc18f78-5073-4a73-9dfa-ea416bb89995","210.0","200.0","8b6f0957-5c9d-4cd1-9ba3-b9881a9c6e24"
"0xffffb3ff","4 opencsv","2b2af623-7254-4783-9144-903106df3cff","360.0","200.0","e4e26ede-a115-444d-b65a-3ad96838b359"
"0xffccccff","1 Build Instructions","f37d90cd-ce2d-459d-b019-d5b8b9cb6780","70.0","200.0","1d6fa596-9d85-4aa4-a865-2e61d928c264"
"0xffffccff","3 Runtime Filesystem","98ec0213-d1e0-4736-860c-a0507f6bd5bd","210.0","280.0","2bba77c4-ac02-4e3e-b59c-5b3ab493449a"
"0xe6ccffff","5 Runtime User","0e9f8ef5-cf00-48b3-8c81-e51afa3336ea","210.0","130.0","3107d95a-53ee-4d81-83eb-46977fc8c7c0"
