"description","leftItem","parentInterface","rightItem","uuid"
"1.2:3 Sources:Runtime Filesystem","98ec0213-d1e0-4736-860c-a0507f6bd5bd","","2bc18f78-5073-4a73-9dfa-ea416bb89995","c3f30ee5-1089-453b-aa68-cfcb11293d09"
"1.2:5 Sources:Runtime User","0e9f8ef5-cf00-48b3-8c81-e51afa3336ea","","2bc18f78-5073-4a73-9dfa-ea416bb89995","f0ad30c5-6443-4749-8f51-53010f6259dd"
"1.1:2 Build Instructions:Development","f37d90cd-ce2d-459d-b019-d5b8b9cb6780","","7f77f551-155d-4e94-b27e-c00e19474cca","00156145-975a-4a49-8db2-30c20c2bc397"
"1.2:6 Sources:opencsv","2bc18f78-5073-4a73-9dfa-ea416bb89995","","66e0291c-5cd4-4587-bf43-948994a0c14b","16cc0ac3-a5a1-4c7a-b3ef-fff082dde5d8"
"1.2:4 Sources:commons-io","a41628cb-19ed-404f-a0f8-895d6b67bbf1","","2bc18f78-5073-4a73-9dfa-ea416bb89995","5c5abf8e-a2b9-4d6f-a803-426d91d23d46"
