"description","external","id","name","originX","originY","uuid"
"","true","3","Runtime Filesystem","460.0","120.0","98ec0213-d1e0-4736-860c-a0507f6bd5bd"
"","false","1","Build Instructions","290.0","240.0","f37d90cd-ce2d-459d-b019-d5b8b9cb6780"
"","false","3","commons-io","150.0","70.0","05644800-01ee-4609-bf88-fa565d699e1a"
"","true","5","Runtime User","450.0","220.0","0e9f8ef5-cf00-48b3-8c81-e51afa3336ea"
"","false","4","opencsv","320.0","60.0","2b2af623-7254-4783-9144-903106df3cff"
"","false","2","Sources","290.0","160.0","2bc18f78-5073-4a73-9dfa-ea416bb89995"
