"description","direction","interface","left","right","type","uuid"
"Model Systems (2 Sources) <-CSV Data-> Process CSV (4 opencsv)","Both","dd57bcac-393b-4d7f-b2b5-e3f7187691ea","848a4aa5-3f30-4561-a6fc-01e4d5168dca","bc7ee126-2008-4049-ad69-1f0c67146036","CSV Data","84170c71-5e29-4934-b1e0-b293bcf662b2"
"Compare Files (3 commons-io) --boolean-> Model Systems (2 Sources)","Reverse","6d590904-1e92-4494-9119-836e032b6e83","848a4aa5-3f30-4561-a6fc-01e4d5168dca","73548a7a-8528-45ea-8444-b67fda21c2da","boolean","90e8730a-c90d-4f29-a7f9-c457fbf678d9"
"Model Systems (2 Sources) <-CSV Files-> Store Files (3 Runtime Filesystem)","Both","c3f30ee5-1089-453b-aa68-cfcb11293d09","848a4aa5-3f30-4561-a6fc-01e4d5168dca","7d182653-479e-421f-9491-3ac2b863b62b","CSV Files","9e90f9e6-d5ce-4e86-ade9-9a00777c79db"
"Model Systems (2 Sources) --Files-> Compare Files (3 commons-io)","Normal","6d590904-1e92-4494-9119-836e032b6e83","848a4aa5-3f30-4561-a6fc-01e4d5168dca","73548a7a-8528-45ea-8444-b67fda21c2da","Files","c551ddb5-46ff-489e-9c1f-ae006803adbc"
"Model Systems (2 Sources) <-User Interaction-> Input Model (5 Runtime User)","Both","f0ad30c5-6443-4749-8f51-53010f6259dd","848a4aa5-3f30-4561-a6fc-01e4d5168dca","d5ebb853-799a-4e1b-bc88-1a3b8150f4f8","User Interaction","cf482e51-4483-494e-a7b0-189bb3897bcb"
