"description","external","item","name","trace","identifier"
"Multiply Speed 6.34x (4 Cog 3)","false","af349713-6b9a-4c17-b685-cb41b01eacf8","Multiply Speed 6.34x","bd07742f-b843-42dc-9513-651cb9da0212","901fcaef-0529-470f-8e1d-d40fa80fb079"
"Multiply Speed 5.75x (3 Cog 2)","false","6354e2da-70da-4537-9cf4-d36c168f3682","Multiply Speed 5.75x","bd07742f-b843-42dc-9513-651cb9da0212","99b57b1e-7905-423e-aa96-e783be5e6c87"
"Resist Movement (3 Atmosphere)","true","81649146-416a-43de-b536-acedbd1cf3c6","Resist Movement","","a70c525a-6fb0-4542-9ccf-9e087b39aa84"
"Multiply Speed 2.75x (2 Cog 1)","false","9258a1b5-8dbc-46a3-961e-00de474afc0a","Multiply Speed 2.75x","bd07742f-b843-42dc-9513-651cb9da0212","e2f66515-7ea1-497a-b611-f2c3d85848bf"
"Resist Movement (1 Governer)","false","19a4e5d5-db3c-43a7-9e78-2f51df0cac2d","Resist Movement","bd07742f-b843-42dc-9513-651cb9da0212","399ac651-4d67-41e7-861b-2cae425fc570"
"Multiply Speed 24x (5 Worm Gear)","false","ef3ab26b-ac54-473b-a026-0a1e0f578df8","Multiply Speed 24x","bd07742f-b843-42dc-9513-651cb9da0212","488093f7-01e0-488f-bdda-2d6f1e9aadf9"
"Pluck Comb (1.1 Drum)","true","9e20fe6b-1ba3-4e47-8c04-012a988d7df6","Pluck Comb","","5488e116-4f41-472a-aa16-1a9446ef55bb"
