"description","direction","interface","left","right","type","uuid"
"Resist Movement (1 Governer) --Force-> Multiply Speed 24x (5 Worm Gear)","Normal","a3155ad3-c3c9-4735-8928-9c851f362da2","399ac651-4d67-41e7-861b-2cae425fc570","488093f7-01e0-488f-bdda-2d6f1e9aadf9","2ae1095f-e52c-41b5-bbde-fd99ef92df4d","8f41e818-e061-49a8-82a4-274bfefc4cb3"
"Multiply Speed 24x (5 Worm Gear) --Force-> Multiply Speed 6.34x (4 Cog 3)","Reverse","7b381fc9-3ddc-4fe1-a8ec-61d4a124943b","901fcaef-0529-470f-8e1d-d40fa80fb079","488093f7-01e0-488f-bdda-2d6f1e9aadf9","2ae1095f-e52c-41b5-bbde-fd99ef92df4d","c6fa689e-22a9-41cd-bf36-ff640d0ba74d"
"Multiply Speed 6.34x (4 Cog 3) --Force-> Multiply Speed 5.75x (3 Cog 2)","Normal","6731ee16-da32-4f8e-97ac-e2eea12f50a4","901fcaef-0529-470f-8e1d-d40fa80fb079","99b57b1e-7905-423e-aa96-e783be5e6c87","2ae1095f-e52c-41b5-bbde-fd99ef92df4d","d3e50ac4-09b5-4722-b36e-f3fd92b56ae8"
"Multiply Speed 2.75x (2 Cog 1) --Force-> Pluck Comb (1.1 Drum)","Normal","b36b0198-7ba4-4caf-920b-cf1c9e7db07e","e2f66515-7ea1-497a-b611-f2c3d85848bf","5488e116-4f41-472a-aa16-1a9446ef55bb","2ae1095f-e52c-41b5-bbde-fd99ef92df4d","e46f2c24-b7c3-458c-8282-dc575ca85548"
"Multiply Speed 5.75x (3 Cog 2) --Force-> Multiply Speed 2.75x (2 Cog 1)","Normal","5792d1eb-6764-4bc1-9fe0-d88dcbce9532","99b57b1e-7905-423e-aa96-e783be5e6c87","e2f66515-7ea1-497a-b611-f2c3d85848bf","2ae1095f-e52c-41b5-bbde-fd99ef92df4d","24ca8d44-b792-4d37-8ef2-ca3fd10ebcc0"
"Resist Movement (3 Atmosphere) --Force-> Resist Movement (1 Governer)","Normal","56bb5df3-b994-4bc7-b843-e4f13a3874f0","a70c525a-6fb0-4542-9ccf-9e087b39aa84","399ac651-4d67-41e7-861b-2cae425fc570","2ae1095f-e52c-41b5-bbde-fd99ef92df4d","3e5679c4-b5cc-40e2-8d55-51180b9a3979"
