"description","external","item","name","originX","originY","trace","uuid"
"Model Systems (1 SystemDesign)","false","4ca384a2-d8fe-47a8-9eba-628f0675ed4f","Model Systems","260","240","","a01a5e30-5764-41ba-a62f-84cb47e10996"
"Input Model (5 Runtime User)","false","0e9f8ef5-cf00-48b3-8c81-e51afa3336ea","Input Model","430","420","","d5ebb853-799a-4e1b-bc88-1a3b8150f4f8"
"Develop Software (2 Development)","false","7f77f551-155d-4e94-b27e-c00e19474cca","Develop Software","150","330","","f7cc903a-86d6-4caf-b132-d9ee628d738a"
"Store Files (3 Runtime Filesystem)","false","98ec0213-d1e0-4736-860c-a0507f6bd5bd","Store Files","190","70","","7d182653-479e-421f-9491-3ac2b863b62b"
