"external","id","name","identifier"
"false","2","Engineering Team","d674806d-db60-4c2d-afbf-725f7108a2d3"
"false","3","Control Board","1a53ad8d-5a23-4ab9-87a2-e4ca344182b3"
"false","1","System Modelling System","30cb1e53-de6d-4f1b-99e0-d685ca866af3"
