"description","drawing","function","originX","originY","identifier"
"Store Models (1 System Modelling System)","","7a9ae517-1122-4e21-9acd-4fee178a108a","580","270","f5996725-50dd-414c-a27c-a35c2edee2d2"
"Approve Changes (3 Control Board)","","a2ef8fb3-dae7-44b5-acf9-232190762242","510","40","0268a9c1-c782-4773-93d7-7756bd278937"
"Report Inconsistency (1 System Modelling System)","","4902c502-bc8d-4a45-b912-bbc8c10c7598","170","260","08077420-9126-4b93-96d3-d20a585d79e9"
"Develop Systems (2 Engineering Team)","","31a28a71-41c2-4a99-a763-d51dfb7c3883","170","70","44d69e14-b6b1-45b2-85aa-d29674e634fb"
