"color","description","item","originX","originY","uuid"
"0xb3e6b3ff","3 Control Board","1a53ad8d-5a23-4ab9-87a2-e4ca344182b3","490.0","240.0","d7bc50fb-64bf-4de5-be21-fb7d496f3997"
"0xe6ccffff","1 System Modelling System","30cb1e53-de6d-4f1b-99e0-d685ca866af3","310.0","150.0","3dd89c4d-789e-422b-ab72-540619909da1"
"0xccffccff","2 Engineering Team","d674806d-db60-4c2d-afbf-725f7108a2d3","310.0","270.0","77ede0dc-c968-46f0-a5b4-6bf1e6b2c0d8"
