"description","leftItem","rightItem","uuid"
"1:2 System Modelling System:Engineering Team","d674806d-db60-4c2d-afbf-725f7108a2d3","30cb1e53-de6d-4f1b-99e0-d685ca866af3","b1f2cce0-3ba9-4414-b60f-97c4e79d7768"
"1:1 System Modelling System:System Modelling System","30cb1e53-de6d-4f1b-99e0-d685ca866af3","30cb1e53-de6d-4f1b-99e0-d685ca866af3","2f1080ae-e18e-4498-9149-4283e4c7643b"
"1:3 System Modelling System:Control Board","1a53ad8d-5a23-4ab9-87a2-e4ca344182b3","30cb1e53-de6d-4f1b-99e0-d685ca866af3","6f0a80c1-564d-43f1-b566-8c0bc0c762ab"
