"description","direction","interface","left","right","type","uuid"
"Approve Changes (3 Control Board) --Approved Versions-> Control Versions (2 Configuration Management System)","Normal","8c191f6c-6257-40b8-89ca-86fdaa0541f8","a2ef8fb3-dae7-44b5-acf9-232190762242","fd404a9f-42a9-418f-93e4-604812a30c7f","a6983d69-5ca2-4ddc-bf39-3c6e30c6f842","9d68cace-9612-4998-96b3-c3fa352fc34e"
"Manipulate Model (1 SystemDesign Software) --Candidate Versions-> Control Versions (2 Configuration Management System)","Normal","2f6b61cf-bbfa-4655-8f38-4cdbe8831d5d","9fff2499-5845-4cb2-8e4a-1178eeabeb29","fd404a9f-42a9-418f-93e4-604812a30c7f","b55cebf1-0ae0-48f3-bad1-bc6b4c5b708b","c2a12569-d5ed-4eff-90a2-6fbbf41c3fb2"
"Control Versions (2 Configuration Management System) --Candidate Versions-> Approve Changes (3 Control Board)","Reverse","8c191f6c-6257-40b8-89ca-86fdaa0541f8","a2ef8fb3-dae7-44b5-acf9-232190762242","fd404a9f-42a9-418f-93e4-604812a30c7f","b55cebf1-0ae0-48f3-bad1-bc6b4c5b708b","d43a542c-2eb5-4221-86d2-d4ce30d0b1a7"
"Develop Systems (2 Engineering Team) --Model Data-> Manipulate Model (1 SystemDesign Software)","Reverse","d83ebdd8-e7e0-4412-bc6f-38dd90aeba29","9fff2499-5845-4cb2-8e4a-1178eeabeb29","31a28a71-41c2-4a99-a763-d51dfb7c3883","abbf9d40-85d6-4edc-8b22-0ef5f34ad99d","04a19185-6f76-4d73-b850-8bd0d4c8fa9f"
"Report Inconsistency (1 SystemDesign Software) --Inconsistencies-> Develop Systems (2 Engineering Team)","Normal","d83ebdd8-e7e0-4412-bc6f-38dd90aeba29","9c0cd9a3-33c8-4286-a0d5-e58316105b01","31a28a71-41c2-4a99-a763-d51dfb7c3883","4c3fbedf-e72e-49f7-8848-8a34a2d62efe","21c794a8-e265-4d51-ae0c-675de9284616"
"Manipulate Model (1 SystemDesign Software) --Model Data-> Report Inconsistency (1 SystemDesign Software)","Reverse","f0665710-0ebd-465f-b5e4-72a03be7bbb3","9c0cd9a3-33c8-4286-a0d5-e58316105b01","9fff2499-5845-4cb2-8e4a-1178eeabeb29","abbf9d40-85d6-4edc-8b22-0ef5f34ad99d","6652d06b-b8e3-4259-b49c-c1fbfd892adc"
