"description","drawing","function","originX","originY","uuid"
"Manipulate Model (1 SystemDesign Software)","4902c502-bc8d-4a45-b912-bbc8c10c7598","9fff2499-5845-4cb2-8e4a-1178eeabeb29","490","190","966011cd-8f81-46e0-860c-5f6ed856c64a"
"Develop Systems (2 Engineering Team)","7a9ae517-1122-4e21-9acd-4fee178a108a","31a28a71-41c2-4a99-a763-d51dfb7c3883","340","130","9da23f16-6c7c-4314-9b19-12e98215cf1a"
"Approve Changes (3 Control Board)","7a9ae517-1122-4e21-9acd-4fee178a108a","a2ef8fb3-dae7-44b5-acf9-232190762242","560","160","a122df4c-f705-4aad-983f-3933bf95491f"
"Develop Systems (2 Engineering Team)","4902c502-bc8d-4a45-b912-bbc8c10c7598","31a28a71-41c2-4a99-a763-d51dfb7c3883","250","130","e6d2eae4-f76b-4744-a2e4-85fa4d6f5ca6"
"Control Versions (2 Configuration Management System)","7a9ae517-1122-4e21-9acd-4fee178a108a","fd404a9f-42a9-418f-93e4-604812a30c7f","440","420","1b6fc30b-6bcc-4b93-bced-c6651abece12"
"Manipulate Model (1 SystemDesign Software)","7a9ae517-1122-4e21-9acd-4fee178a108a","9fff2499-5845-4cb2-8e4a-1178eeabeb29","200","260","3181250d-e61f-4757-88eb-345544b1f386"
"Report Inconsistency (1 SystemDesign Software)","7a9ae517-1122-4e21-9acd-4fee178a108a","9c0cd9a3-33c8-4286-a0d5-e58316105b01","150","70","6ce442f7-4743-47a2-b8e8-fc10825d6898"
"Report Inconsistency (1 SystemDesign Software)","4902c502-bc8d-4a45-b912-bbc8c10c7598","9c0cd9a3-33c8-4286-a0d5-e58316105b01","250","330","7119e305-6765-465d-840d-c2bda63bfe76"
