"description","leftItem","rightItem","uuid"
"1.1:1.3 SystemDesign Software:Desktop Computer","b2a2ea70-4c95-481b-9822-f966af9e0b80","15f2ccf9-e2b8-4966-b85c-e37b24313614","86ac111a-3006-4f79-9362-07049fd90dfd"
"1.2:3 Configuration Management System:Control Board","1a53ad8d-5a23-4ab9-87a2-e4ca344182b3","61e29bdc-5cf4-45fa-b6af-bec240c87a30","8c191f6c-6257-40b8-89ca-86fdaa0541f8"
"1.1:2 SystemDesign Software:Engineering Team","d674806d-db60-4c2d-afbf-725f7108a2d3","15f2ccf9-e2b8-4966-b85c-e37b24313614","d83ebdd8-e7e0-4412-bc6f-38dd90aeba29"
"1.1:1.1 SystemDesign Software:SystemDesign Software","15f2ccf9-e2b8-4966-b85c-e37b24313614","15f2ccf9-e2b8-4966-b85c-e37b24313614","f0665710-0ebd-465f-b5e4-72a03be7bbb3"
"1.2:1.4 Configuration Management System:Server","89445479-99f7-4275-8bb3-0485c06799c4","61e29bdc-5cf4-45fa-b6af-bec240c87a30","1bf42be9-29ea-4fe7-9278-c3c5ce7b32d2"
"1.3:1.5 Desktop Computer:Other Software","b2a2ea70-4c95-481b-9822-f966af9e0b80","361d9d3a-a12c-41a2-9fef-3eea2384130e","21c53837-2a35-4423-9de3-b56927000405"
"1.1:1.2 SystemDesign Software:Configuration Management System","15f2ccf9-e2b8-4966-b85c-e37b24313614","61e29bdc-5cf4-45fa-b6af-bec240c87a30","2f6b61cf-bbfa-4655-8f38-4cdbe8831d5d"
"1.2:1.3 Configuration Management System:Desktop Computer","b2a2ea70-4c95-481b-9822-f966af9e0b80","61e29bdc-5cf4-45fa-b6af-bec240c87a30","6af807e6-f9cc-4493-87f4-6f849d4710ed"
