"color","description","item","originX","originY","uuid"
"0xcc99ccff","5 Other Software","361d9d3a-a12c-41a2-9fef-3eea2384130e","180.0","20.0","9688c6ca-fdd5-4da5-b739-36fb29751694"
"0xb3e6b3ff","3 Control Board","1a53ad8d-5a23-4ab9-87a2-e4ca344182b3","390.0","230.0","9b14ddaf-ebd6-496f-bb1b-96b7c5ff8f46"
"0xccffccff","2 Engineering Team","d674806d-db60-4c2d-afbf-725f7108a2d3","140.0","230.0","cdc64ff3-d0e8-49db-a563-8dab9827ec1b"
"0xe6ccffff","1 SystemDesign Software","15f2ccf9-e2b8-4966-b85c-e37b24313614","140.0","150.0","d3c76b2f-293c-4985-bcd8-b5cba13cbd0b"
"0xb3ccffff","4 Server","89445479-99f7-4275-8bb3-0485c06799c4","350.0","60.0","dbaa14f4-6965-4aa3-8218-cfabcc0862a1"
"0xe6b3e6ff","2 Configuration Management System","61e29bdc-5cf4-45fa-b6af-bec240c87a30","390.0","150.0","4063cac7-b3e5-40ca-bc9d-6a34adeba526"
"0xcce6ffff","3 Desktop Computer","b2a2ea70-4c95-481b-9822-f966af9e0b80","180.0","70.0","4d17b941-046c-4514-a8d9-2d37caa473d9"
