"external","id","name","uuid"
"false","4","Server","89445479-99f7-4275-8bb3-0485c06799c4"
"false","3","Desktop Computer","b2a2ea70-4c95-481b-9822-f966af9e0b80"
"true","2","Engineering Team","d674806d-db60-4c2d-afbf-725f7108a2d3"
"false","1","SystemDesign Software","15f2ccf9-e2b8-4966-b85c-e37b24313614"
"true","3","Control Board","1a53ad8d-5a23-4ab9-87a2-e4ca344182b3"
"false","5","Other Software","361d9d3a-a12c-41a2-9fef-3eea2384130e"
"false","2","Configuration Management System","61e29bdc-5cf4-45fa-b6af-bec240c87a30"
